iter	RMSE
0	14.90925856
1	14.8115404
2	14.712673
3	14.61222172
4	14.51851771
5	14.43707069
6	14.34349181
7	14.26430339
8	14.17917555
9	14.08251003
10	13.98492119
11	13.90030821
12	13.81181362
13	13.72317542
14	13.63492711
15	13.54090436
16	13.45593927
17	13.37197324
18	13.28429124
19	13.20226308
20	13.12453216
21	13.04868063
22	12.96332785
23	12.87902662
24	12.79867716
25	12.72382746
26	12.64518863
27	12.57351371
28	12.49880389
29	12.43079763
30	12.35543478
31	12.27772167
32	12.20152051
33	12.13299412
34	12.05695336
35	11.9874225
36	11.91193964
37	11.84817883
38	11.77645217
39	11.70417571
40	11.6354579
41	11.57158751
42	11.50581973
43	11.43661355
44	11.37074125
45	11.30577596
46	11.24339117
47	11.18210388
48	11.12174328
49	11.06338179
50	11.00016531
51	10.93811401
52	10.88146681
53	10.82290454
54	10.76730518
55	10.70796248
56	10.64772741
57	10.58859701
58	10.53267716
59	10.48323499
60	10.42784604
61	10.37097085
62	10.32055625
63	10.26375646
64	10.20739228
65	10.14943144
66	10.09476093
67	10.04366511
68	9.994614877
69	9.941920438
70	9.888391649
71	9.839629505
72	9.791417038
73	9.740657248
74	9.691259257
75	9.64276582
76	9.598914853
77	9.552855209
78	9.507071353
79	9.468075086
80	9.420873951
81	9.375091367
82	9.327836533
83	9.289291737
84	9.244897585
85	9.200107674
86	9.158773472
87	9.116700386
88	9.074933242
89	9.031036977
90	8.995351038
91	8.952618139
92	8.908773058
93	8.87062845
94	8.831848351
95	8.795715246
96	8.755839646
97	8.720977534
98	8.686203294
99	8.649513737
100	8.611588772
101	8.575325491
102	8.544274283
103	8.508868808
104	8.471061624
105	8.438581649
106	8.401051099
107	8.367729144
108	8.334361713
109	8.30444154
110	8.267469847
111	8.235590171
112	8.200510249
113	8.16972492
114	8.140733758
115	8.112530739
116	8.080397467
117	8.051816185
118	8.021641313
119	7.991442871
120	7.96230098
121	7.933570483
122	7.907088345
123	7.877872878
124	7.848811364
125	7.822220458
126	7.792738472
127	7.765104411
128	7.741526251
129	7.7167202
130	7.687789522
131	7.662470274
132	7.634793903
133	7.610129168
134	7.586568606
135	7.5636249
136	7.537060927
137	7.510256577
138	7.486649671
139	7.464823526
140	7.44127444
141	7.416939587
142	7.394172603
143	7.373217485
144	7.349962617
145	7.331154845
146	7.307521103
147	7.287526772
148	7.266000342
149	7.244973707
150	7.223623944
151	7.203653776
152	7.183619098
153	7.162824712
154	7.141942562
155	7.122867565
156	7.101412658
157	7.082011221
158	7.065878912
159	7.046176978
160	7.027363634
161	7.008562898
162	6.991692469
163	6.976557865
164	6.958308097
165	6.938735341
166	6.91915527
167	6.900662654
168	6.882890445
169	6.865466046
170	6.847694591
171	6.830667055
172	6.814567358
173	6.797083496
174	6.781141927
175	6.762884005
176	6.748438
177	6.730385967
178	6.715002032
179	6.697859686
180	6.681574485
181	6.667822956
182	6.651410958
183	6.633904918
184	6.619591329
185	6.604803433
186	6.589761048
187	6.575017037
188	6.561570601
189	6.546421982
190	6.53192001
191	6.516216647
192	6.502008753
193	6.488985542
194	6.474199755
195	6.460745461
196	6.446193606
197	6.433583835
198	6.418757216
199	6.407047946
200	6.395889617
201	6.384516903
202	6.373456324
203	6.361572538
204	6.348495294
205	6.335824104
206	6.324931143
207	6.312929166
208	6.300486364
209	6.288311474
210	6.276413768
211	6.265109245
212	6.254326073
213	6.244113356
214	6.232739765
215	6.219911165
216	6.209083857
217	6.199608309
218	6.190831894
219	6.180276576
220	6.17166382
221	6.162833749
222	6.152038952
223	6.141197318
224	6.131082772
225	6.121483402
226	6.113164496
227	6.102764314
228	6.091933307
229	6.081128163
230	6.07107704
231	6.062993569
232	6.054212271
233	6.045187675
234	6.035701156
235	6.026161209
236	6.018459611
237	6.00978854
238	5.999926585
239	5.992097772
240	5.985048074
241	5.976905804
242	5.967661013
243	5.958949258
244	5.950540026
245	5.941518305
246	5.932927812
247	5.92508835
248	5.918764775
249	5.911192526
250	5.903948879
251	5.897204348
252	5.889641237
253	5.883456942
254	5.876446182
255	5.869797755
256	5.86267023
257	5.855522047
258	5.849154395
259	5.84287218
260	5.836870408
261	5.830308227
262	5.824341478
263	5.818295073
264	5.812071979
265	5.804725206
266	5.797508362
267	5.790441048
268	5.784510243
269	5.778111729
270	5.773039843
271	5.767399496
272	5.761709219
273	5.755293779
274	5.749533205
275	5.742216171
276	5.736559261
277	5.72998408
278	5.723871999
279	5.719243461
280	5.713271912
281	5.708158258
282	5.702506693
283	5.696686666
284	5.691696698
285	5.685100828
286	5.680057353
287	5.673166538
288	5.66873929
289	5.664105851
290	5.659399456
291	5.654898074
292	5.650351991
293	5.646439115
294	5.641896388
295	5.637758057
296	5.633420536
297	5.628014129
298	5.623351869
299	5.618906903
300	5.614216284
301	5.609760382
302	5.604847166
303	5.600636373
304	5.59556525
305	5.591329809
306	5.586668879
307	5.582386611
308	5.577426921
309	5.572039742
310	5.567703009
311	5.562909928
312	5.558621979
313	5.554386753
314	5.550915515
315	5.547439735
316	5.543311812
317	5.539949036
318	5.536286021
319	5.532372533
320	5.528914368
321	5.524021084
322	5.521413083
323	5.517431093
324	5.51313465
325	5.509396468
326	5.505833918
327	5.501799068
328	5.497607291
329	5.493805712
330	5.490414693
331	5.486041179
332	5.482410473
333	5.478261973
334	5.474632525
335	5.470710606
336	5.467932231
337	5.464815077
338	5.461498863
339	5.458505322
340	5.454768414
341	5.451489374
342	5.447985119
343	5.444406467
344	5.4409478
345	5.438277702
346	5.435489522
347	5.431575979
348	5.427559163
349	5.423908619
350	5.42129759
351	5.418036382
352	5.414395954
353	5.411407092
354	5.408810346
355	5.406404887
356	5.403784766
357	5.401536519
358	5.399118073
359	5.396552344
360	5.39429733
361	5.391188056
362	5.388620649
363	5.384892414
364	5.382377704
365	5.379921824
366	5.376055591
367	5.373354529
368	5.37030095
369	5.367052287
370	5.364967614
371	5.36225618
372	5.360551539
373	5.35756081
374	5.354723083
375	5.353586911
376	5.351378688
377	5.348513762
378	5.346649498
379	5.343474395
380	5.340826785
381	5.337942842
382	5.335693713
383	5.333314744
384	5.330301794
385	5.328376104
386	5.326841576
387	5.324223873
388	5.32102937
389	5.31855439
